id,name,place_type,gmina,powiat,wojewodztwo,lat,lon,country,source
26627,Pobiednik Wielki,village,Igołomia-Wawrzeńczyce,krakowski,małopolskie,50.0833534368884,20.2075280523514,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26628,Pobiedno,village,Bukowsko,sanocki,podkarpackie,49.5269389828191,22.1051097974281,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26629,Pobiedziska,city,Pobiedziska,poznański,wielkopolskie,52.47746939625748,17.284853684421144,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26630,Pobiel,village,Wąsosz,górowski,dolnośląskie,51.565506680338025,16.748168869082146,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26631,Pobierowo,village,Rewal,gryficki,zachodniopomorskie,54.06035225061521,14.93246996378748,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26632,Pobikry,village,Ciechanowiec,wysokomazowiecki,podlaskie,52.62994017361788,22.644636653115093,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26633,Pobondzie,village,Rutka-Tartak,suwalski,podlaskie,54.31583220729616,22.959958960430185,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26634,Poborcze,village,Zakrzewo,złotowski,wielkopolskie,53.44290148877362,17.191419598022126,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26635,Poborowo,village,Trzebielino,bytowski,pomorskie,54.20671927137166,17.162045393978747,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26636,Poborowo,village,Lubomino,lidzbarski,warmińsko-mazurskie,54.1238384664777,20.3420647617164,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26637,Poborszów,village,Reńska Wieś,kędzierzyńsko-kozielski,opolskie,50.3748593669967,18.0846812707267,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26638,Pobołowice,village,Żmudź,chełmski,lubelskie,51.02648663111694,23.624469662222552,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
