dataset,variant,seed,final_KL_to_own_P,mean_sigma,trustworthiness@10,continuity@10,spearman_euclidean,spearman_geodesic,spearman_latent,silhouette_labels
Swiss roll,path t=3,0,0.20475447212743547,0.5846529759560412,0.981715976331361,0.9603905325443787,0.7036387838471396,0.7300072094687157,0.24081553779226328,
Swiss roll,path t=3,1,0.18797242360983069,0.5846529759560412,0.980378698224852,0.9660828402366863,0.74736388114139,0.7558088299235902,0.3608905742449149,
Swiss roll,path t=3,2,0.1879182600567619,0.5846529759560412,0.9811242603550296,0.9670650887573965,0.7430358748552978,0.7557207217553975,0.36447146118987017,
Swiss roll,path t=5,0,0.12883784648643026,0.5846529759560412,0.9647337278106509,0.959810650887574,0.7335290645128468,0.7481951824711034,0.333262524872432,
Swiss roll,path t=5,1,0.11901454396477937,0.5846529759560412,0.9719526627218935,0.9637278106508875,0.7563445609562047,0.7603794667489367,0.36996841866965685,
Swiss roll,path t=5,2,0.11474758461673233,0.5846529759560412,0.9751834319526628,0.9656331360946746,0.7614569827668548,0.7641422932312975,0.37722584291454825,
Swiss roll,path t=8,0,0.05976735429959269,0.5846529759560412,0.934698224852071,0.9545562130177515,0.7874904009760082,0.7529635575439702,0.40712566017091234,
Swiss roll,path t=8,1,0.05976735429959255,0.5846529759560412,0.934698224852071,0.9545562130177515,0.7874904009760082,0.7529635575439702,0.40712566017091234,
Swiss roll,path t=8,2,0.05976735429959256,0.5846529759560412,0.934698224852071,0.9545562130177515,0.7874904009760082,0.7529635575439702,0.40712566017091234,
Swiss roll,path t=16,0,0.032048412684953204,0.5846529759560412,0.8737159763313609,0.913207100591716,0.7186539214929575,0.6164035517233147,0.3862593407927555,
Swiss roll,path t=16,1,0.030590160569077807,0.5846529759560412,0.8845680473372781,0.9272307692307692,0.7503407142267405,0.6556616175057378,0.3981331100022478,
Swiss roll,path t=16,2,0.0314635544325569,0.5846529759560412,0.8760473372781065,0.9175976331360947,0.7330951312848586,0.6360563726148664,0.386800409066995,
Blobs,classic t=1,0,0.0843645185746837,0.16895089005373073,0.9948639053254438,0.9966627218934911,0.9591353423694751,0.9203674690898354,,0.7925330667515715
Blobs,classic t=1,1,0.07540828426414617,0.16895089005373073,0.9956686390532544,0.997112426035503,0.7137595466561111,0.9222891704459578,,0.7940537205161218
Blobs,classic t=1,2,0.08365037593956692,0.16895089005373073,0.9953609467455621,0.9962248520710059,0.7961640552861503,0.919575898797392,,0.7963398042560922
Blobs,path t=2,0,0.051410798509340716,0.16895089005373073,0.9964615384615385,0.9959881656804733,0.8460665038387482,0.9194204378634026,,0.8387531560993553
Blobs,path t=2,1,0.052147448185158804,0.16895089005373073,0.9966390532544379,0.9959644970414201,0.6136089946654754,0.9197914703975503,,0.838256927220948
Blobs,path t=2,2,0.05174976438995931,0.16895089005373073,0.9963550295857988,0.996,0.9189799027883199,0.9193485056434694,,0.8378175327403234
Blobs,path t=3,0,0.04381204033548577,0.16895089005373073,0.9953846153846154,0.9939171597633136,0.876241056015873,0.9141983730951863,,0.8553043634113652
Blobs,path t=3,1,0.04357732016437484,0.16895089005373073,0.9961065088757396,0.9947810650887574,0.8324919517702082,0.9187463901618141,,0.8533871021126719
Blobs,path t=3,2,0.044629071869290535,0.16895089005373073,0.9951834319526627,0.9941893491124261,0.7490131042378884,0.9153388746702088,,0.8517107026397503
Blobs,path t=5,0,0.042636923278657195,0.16895089005373073,0.9903905325443787,0.9867455621301775,0.7932953250642274,0.895967320155631,,0.8687862306455715
Blobs,path t=5,1,0.04361489049627055,0.16895089005373073,0.9897396449704142,0.9850059171597633,0.6562808249959244,0.894477672109425,,0.8686823408375751
Blobs,path t=5,2,0.04342304717587854,0.16895089005373073,0.990603550295858,0.9859881656804734,0.9356085980528686,0.8949151051344397,,0.867899695909278
Blobs,path t=8,0,0.04114080795699098,0.16895089005373073,0.9838698224852072,0.9799408284023668,0.8401970735781487,0.8793517887503348,,0.868969821738779
Blobs,path t=8,1,0.04070757951490653,0.16895089005373073,0.986224852071006,0.9813846153846154,0.7265171443792879,0.8789359575024225,,0.8701347733313527
Blobs,path t=8,2,0.04097409360913909,0.16895089005373073,0.9842840236686391,0.9804497041420118,0.6461120725240755,0.8761683694863351,,0.8697616501000819
Blobs,path t=16,0,0.034994793074710824,0.16895089005373073,0.9806508875739645,0.9747810650887574,0.8305598442811645,0.8613616364915652,,0.8560515753805551
Blobs,path t=16,1,0.035070316225867856,0.16895089005373073,0.9805443786982249,0.9754319526627219,0.7195626677866116,0.8618824126551433,,0.8557339020073386
Blobs,path t=16,2,0.034549314088987745,0.16895089005373073,0.9786627218934911,0.9751834319526628,0.9249963929776872,0.8602700439300627,,0.8560309625095159
